creator_id,name,platform,niche,followers,avg_views,avg_likes,avg_comments,audience_age_18_24,audience_age_25_34,geography,estimated_price_inr,content_summary,previous_brand_categories
C001,Creator 001,Instagram,fintech,1350975,292889,21061,1876,0.23,0.21,India,270195,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""crypto trading"", ""unregulated loans""]"
C002,Creator 002,Instagram,fintech,192323,96987,2155,357,0.28,0.46,India,38464,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""gambling"", ""binary options""]"
C003,Creator 003,Instagram,fintech,889796,251157,15383,4161,0.15,0.59,India,177959,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""sportswear"", ""health supplements""]"
C004,Creator 004,Instagram,fintech,592738,144205,12546,1162,0.2,0.2,India,118547,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""consumer electronics"", ""cloud storage""]"
C005,Creator 005,Instagram,fintech,564740,358201,25461,4173,0.69,0.19,India,112948,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""consumer electronics"", ""cloud storage""]"
C006,Creator 006,Instagram,fintech,1866926,1245284,75233,18283,0.18,0.28,India,373385,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""banking apps"", ""mutual funds""]"
C007,Creator 007,Instagram,fintech,1803731,522494,14143,3659,0.5,0.26,India,360746,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""edtech"", ""productivity tools""]"
C008,Creator 008,Instagram,fintech,1415459,439056,37568,5999,0.49,0.2,India,283091,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""edtech"", ""productivity tools""]"
C009,Creator 009,Instagram,fintech,979429,369904,33020,5001,0.46,0.38,India,195885,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""banking apps"", ""mutual funds""]"
C010,Creator 010,Instagram,fintech,490348,315333,24076,2907,0.19,0.65,India,98069,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""sportswear"", ""health supplements""]"
C011,Creator 011,Instagram,finance,455910,247679,11812,4572,0.4,0.26,India,91182,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""consumer electronics"", ""cloud storage""]"
C012,Creator 012,Instagram,finance,1140317,350812,21371,6371,0.37,0.24,India,228063,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""consumer electronics"", ""cloud storage""]"
C013,Creator 013,Instagram,finance,1044977,213745,4979,849,0.5,0.39,India,208995,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""banking apps"", ""mutual funds""]"
C014,Creator 014,Instagram,finance,816915,309587,27778,3567,0.68,0.25,India,163383,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""crypto trading"", ""offshore betting""]"
C015,Creator 015,Instagram,finance,1439650,980218,71126,15521,0.34,0.29,India,287930,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""banking apps"", ""mutual funds""]"
C016,Creator 016,Instagram,finance,1524336,1029706,39579,11337,0.25,0.65,India,304867,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""sportswear"", ""health supplements""]"
C017,Creator 017,Instagram,finance,1775108,946788,59295,4498,0.57,0.27,India,355021,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""consumer electronics"", ""cloud storage""]"
C018,Creator 018,Instagram,finance,1936220,291097,12427,684,0.66,0.27,India,387244,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""sportswear"", ""health supplements""]"
C019,Creator 019,Instagram,finance,512167,94625,7708,1802,0.2,0.42,India,102433,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""gambling"", ""fantasy sports""]"
C020,Creator 020,Instagram,finance,279256,152432,13151,757,0.44,0.37,India,55851,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""consumer electronics"", ""cloud storage""]"
C021,Creator 021,YouTube,fitness,1418629,765955,38808,8667,0.22,0.27,Bangalore,141862,"Shares workout routines, nutrition advice, meal prep ideas, and athletic conditioning tips.","[""consumer electronics"", ""cloud storage""]"
C022,Creator 022,Instagram,travel,471829,72810,5063,222,0.19,0.17,Hyderabad,47182,"Documents budget travel itineraries, hotel reviews, and cultural destination guides.","[""consumer electronics"", ""cloud storage""]"
C023,Creator 023,YouTube,fitness,1027987,286337,8378,5394,0.46,0.31,Pune,102798,"Shares workout routines, nutrition advice, meal prep ideas, and athletic conditioning tips.","[""e-commerce"", ""lifestyle accessories""]"
C024,Creator 024,Instagram,fitness,1391986,568808,28241,5919,0.55,0.32,India,139198,"Shares workout routines, nutrition advice, meal prep ideas, and athletic conditioning tips.","[""banking apps"", ""mutual funds""]"
C025,Creator 025,YouTube,fintech,721569,454844,12575,2478,0.44,0.2,Pune,144313,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""e-commerce"", ""lifestyle accessories""]"
